TUCASEID,TULINENO,GEREG,GEDIV,GESTFIPS,GTMETSTA,GTCBSA,GTCO,HEFAMINC
20160101160045,1,3,5,13,1,12060,015,3
20160101160045,2,3,5,13,1,12060,015,3
20160101160045,3,3,5,13,1,12060,015,3
20160101160066,1,3,5,51,2,00000,000,6
20160101160066,2,3,5,51,2,00000,000,6
20160101160069,1,3,5,11,1,47900,001,4
20160101160069,2,3,5,11,1,47900,001,4
20160101160069,3,3,5,11,1,47900,001,4
20160101160069,4,3,5,11,1,47900,001,4
20160101160075,1,2,3,17,1,16980,000,10
20160101160080,1,3,5,51,1,47900,000,6
20160101160083,1,2,3,26,2,00000,000,8
20160101160084,1,2,4,29,1,00000,000,13
20160101160084,2,2,4,29,1,00000,000,13
20160101160094,1,3,5,12,1,33100,086,5
20160101160094,2,3,5,12,1,33100,086,5
20160101160094,3,3,5,12,1,33100,086,5
20160101160094,4,3,5,12,1,33100,086,5
20160101160094,5,3,5,12,1,33100,086,5
20160101160116,1,1,2,34,1,35620,039,16
20160101160116,2,1,2,34,1,35620,039,16
20160101160116,3,1,2,34,1,35620,039,16
20160101160116,4,1,2,34,1,35620,039,16
20160101160116,5,1,2,34,1,35620,039,16
20160101160135,1,3,5,13,1,00000,000,5
20160101160135,2,3,5,13,1,00000,000,5
20160101160135,3,3,5,13,1,00000,000,5
20160101160135,4,3,5,13,1,00000,000,5
20160101160139,1,2,3,39,1,17140,000,16
20160101160139,2,2,3,39,1,17140,000,16
20160101160531,1,4,8,8,1,19740,059,14
20160101160531,2,4,8,8,1,19740,059,14
20160101160531,3,4,8,8,1,19740,059,14
20160101160531,4,4,8,8,1,19740,059,14
20160101160531,5,4,8,8,1,19740,059,14
20160101160533,1,4,9,2,1,00000,000,11
20160101160533,2,4,9,2,1,00000,000,11
20160101160533,3,4,9,2,1,00000,000,11
20160101160533,4,4,9,2,1,00000,000,11
20160101160546,1,3,5,13,2,00000,000,15
20160101160546,2,3,5,13,2,00000,000,15
20160101160546,3,3,5,13,2,00000,000,15
20160101160546,4,3,5,13,2,00000,000,15
20160101160550,1,2,3,17,1,16980,000,13
20160101160550,2,2,3,17,1,16980,000,13
20160101160550,3,2,3,17,1,16980,000,13
20160101160550,4,2,3,17,1,16980,000,13
20160101160560,1,4,8,8,2,00000,000,12
20160101160564,1,3,7,48,1,32580,215,13
20160101160564,2,3,7,48,1,32580,215,13
20160101160564,3,3,7,48,1,32580,215,13
20160101160569,1,2,4,19,2,00000,000,13
20160101160569,2,2,4,19,2,00000,000,13
20160101160571,1,2,4,19,2,00000,000,7
20160101160571,2,2,4,19,2,00000,000,7
20160101160573,1,4,9,41,1,21660,039,12
20160101160573,2,4,9,41,1,21660,039,12
20160101160573,3,4,9,41,1,21660,039,12
20160101160573,4,4,9,41,1,21660,039,12
20160101160573,5,4,9,41,1,21660,039,12
20160101160573,6,4,9,41,1,21660,039,12
20160101160574,1,4,8,4,1,38060,013,13
20160101160578,1,2,3,26,1,28020,000,13
20160101160578,2,2,3,26,1,28020,000,13
20160101160578,3,2,3,26,1,28020,000,13
20160101160578,4,2,3,26,1,28020,000,13
20160101160591,1,4,8,8,1,19740,059,14
20160101160591,2,4,8,8,1,19740,059,14
20160101160591,3,4,8,8,1,19740,059,14
20160101160599,1,3,7,22,1,43340,000,4
20160101160599,2,3,7,22,1,43340,000,4
20160101160602,1,2,4,20,1,45820,000,13
20160101160602,2,2,4,20,1,45820,000,13
20160101160602,3,2,4,20,1,45820,000,13
20160101160611,1,2,3,39,1,49660,000,11
20160101160613,1,3,5,24,1,47900,033,15
20160101160631,1,1,1,25,1,49340,027,6
20160101160632,1,2,4,27,2,00000,000,14
20160101160648,1,3,6,1,1,19300,003,9
20160101160654,1,4,8,4,3,00000,000,12
20160101160654,2,4,8,4,3,00000,000,12
20160101160654,3,4,8,4,3,00000,000,12
20160101160654,5,4,8,4,3,00000,000,12
20160101160654,6,4,8,4,3,00000,000,12
20160101160658,1,3,5,45,1,25940,000,11
20160101160658,2,3,5,45,1,25940,000,11
20160101160660,1,4,9,6,1,42100,087,15
20160101160660,2,4,9,6,1,42100,087,15
20160101160663,1,2,4,19,1,26980,103,14
20160101160663,2,2,4,19,1,26980,103,14
20160101160663,3,2,4,19,1,26980,103,14
20160101160663,4,2,4,19,1,26980,103,14
20160101160674,1,1,2,36,1,35620,103,12
20160101160674,2,1,2,36,1,35620,103,12
20160101160680,1,4,9,6,1,42200,083,13
20160101160694,1,3,5,12,1,37860,033,8
20160101160734,1,4,9,53,1,42660,033,16
20160101160734,2,4,9,53,1,42660,033,16
20160101160734,3,4,9,53,1,42660,033,16
20160101160734,4,4,9,53,1,42660,033,16
20160101160758,1,3,5,51,1,47260,700,15
20160101160758,2,3,5,51,1,47260,700,15
20160101160769,1,2,4,19,1,16300,113,15
20160101160769,2,2,4,19,1,16300,113,15
20160101160769,3,2,4,19,1,16300,113,15
20160101160769,4,2,4,19,1,16300,113,15
20160101160813,1,4,8,30,2,00000,000,16
20160101160813,2,4,8,30,2,00000,000,16
20160101160813,3,4,8,30,2,00000,000,16
20160101160820,1,3,6,21,1,14540,000,10
20160101160820,2,3,6,21,1,14540,000,10
20160101160820,3,3,6,21,1,14540,000,10
20160101160820,4,3,6,21,1,14540,000,10
20160101160828,1,3,7,22,1,33740,073,13
20160101160828,2,3,7,22,1,33740,073,13
20160101160828,3,3,7,22,1,33740,073,13
20160101160828,4,3,7,22,1,33740,073,13
20160101160829,1,1,2,34,1,35620,017,8
20160101160835,1,4,8,35,1,10740,001,8
20160101160835,2,4,8,35,1,10740,001,8
20160101160835,3,4,8,35,1,10740,001,8
20160101160835,4,4,8,35,1,10740,001,8
20160101160837,1,1,2,34,1,35620,013,16
20160101160837,2,1,2,34,1,35620,013,16
20160101160837,3,1,2,34,1,35620,013,16
20160101160837,4,1,2,34,1,35620,013,16
20160101160838,1,2,3,18,1,45460,000,8
20160101160846,1,2,3,39,2,00000,000,10
20160101160846,2,2,3,39,2,00000,000,10
20160101160846,3,2,3,39,2,00000,000,10
20160101160856,1,3,5,45,1,34820,051,6
20160101160862,1,4,9,6,1,31080,037,14
20160101160862,2,4,9,6,1,31080,037,14
20160101160862,3,4,9,6,1,31080,037,14
20160101160869,1,2,3,17,1,16980,000,14
20160101160869,2,2,3,17,1,16980,000,14
20160101160869,3,2,3,17,1,16980,000,14
20160101160869,4,2,3,17,1,16980,000,14
20160101160884,1,1,1,33,1,31700,011,13
20160101160884,2,1,1,33,1,31700,011,13
20160101160884,3,1,1,33,1,31700,011,13
20160101160884,4,1,1,33,1,31700,011,13
20160101160884,5,1,1,33,1,31700,011,13
20160101160884,6,1,1,33,1,31700,011,13
20160101160894,1,3,7,48,1,26420,000,15
20160101160894,2,3,7,48,1,26420,000,15
20160101160914,1,3,6,21,1,31140,000,11
20160101160914,2,3,6,21,1,31140,000,11
20160101160914,3,3,6,21,1,31140,000,11
20160101160914,4,3,6,21,1,31140,000,11
20160101160915,1,3,6,1,2,00000,000,14
20160101160916,1,2,3,26,1,28020,000,6
20160101160916,2,2,3,26,1,28020,000,6
20160101160917,1,3,5,12,1,34940,021,12
20160101160942,1,1,2,36,1,35620,081,13
20160101160969,1,4,8,35,1,42140,049,12
20160101160974,1,3,5,45,1,16740,091,15
20160101160976,1,3,5,12,1,15980,071,7
