CASEID,YEAR,STATEFIP,PED,SED_EAT,ANYSECEAT,ACTIVITY,DURATION,START
20060605060641,2006,6,24,0,2,50101,510,16:00:00
20060605060653,2006,6,70,0,2,50101,228,9:12:00
20060605060653,2006,6,70,0,2,50101,255,13:30:00
20060605060656,2006,6,60,10,1,60103,10,7:50:00
20060605060656,2006,6,60,10,1,60101,100,8:00:00
20060605060656,2006,6,60,10,1,60101,100,10:00:00
20060605060656,2006,6,60,10,1,60101,100,12:10:00
20060605060659,2006,6,150,0,2,50102,60,8:00:00
20060605060659,2006,6,150,0,2,50101,615,10:45:00
20060605060659,2006,6,150,0,2,50101,70,22:50:00
20060605060662,2006,6,85,5,1,50101,210,8:30:00
20060605060662,2006,6,85,5,1,50101,290,13:10:00
20060605060663,2006,6,10,0,2,50101,495,6:45:00
20060605060673,2006,6,45,0,2,50101,180,16:00:00
20060605060673,2006,6,45,0,2,50101,80,19:10:00
20060605060673,2006,6,45,0,2,50101,180,21:00:00
20060605060679,2006,6,35,0,2,50101,135,7:45:00
20060605060679,2006,6,35,0,2,50101,105,10:15:00
20060605060679,2006,6,35,0,2,50101,240,13:00:00
20060605060684,2006,6,20,0,2,60101,135,13:00:00
20060605060686,2006,6,20,0,2,50101,480,4:00:00
20060605060686,2006,6,20,0,2,50101,180,1:00:00
20060605060688,2006,6,75,10,1,50101,150,8:00:00
20060605060688,2006,6,75,10,1,50102,130,10:50:00
20060605060688,2006,6,75,10,1,50102,195,13:15:00
20060605060688,2006,6,75,10,1,50102,45,16:45:00
20060605060688,2006,6,75,10,1,50101,150,17:30:00
20060605060688,2006,6,75,10,1,50101,30,21:58:00
20060605060692,2006,6,60,17,1,50101,180,9:00:00
20060605060692,2006,6,60,17,1,50101,120,12:30:00
20060605060692,2006,6,60,17,1,50101,195,14:45:00
20060605060693,2006,6,75,15,1,50101,300,8:15:00
20060605060693,2006,6,75,15,1,50101,290,14:10:00
20060605060696,2006,6,110,0,2,50101,133,9:47:00
20060605060696,2006,6,110,0,2,50101,308,12:52:00
20060605060703,2006,6,50,0,2,50101,180,8:10:00
20060605060703,2006,6,50,0,2,50101,60,11:40:00
20060605060720,2006,6,60,0,2,50101,397,7:23:00
20060605060720,2006,6,60,0,2,50101,85,14:15:00
20060605060722,2006,6,40,10,1,50101,155,6:55:00
20060605060722,2006,6,40,10,1,50101,125,9:40:00
20060605060722,2006,6,40,10,1,50101,195,12:15:00
20060605060743,2006,6,60,0,2,60101,200,7:10:00
20060605060743,2006,6,60,0,2,60101,220,11:10:00
20060605060747,2006,6,60,0,2,50101,210,11:30:00
20060605060747,2006,6,60,0,2,50101,180,15:15:00
20060605060764,2006,6,358,0,2,50101,310,9:50:00
20060605060771,2006,6,80,5,1,60102,60,10:25:00
20060605060783,2006,6,75,10,1,50101,85,21:05:00
20060605060801,2006,6,60,0,2,50101,269,7:31:00
20060605060801,2006,6,60,0,2,50101,240,12:30:00
20060605060805,2006,6,75,3,1,50101,165,8:45:00
20060605060805,2006,6,75,3,1,50101,242,12:58:00
20060605060805,2006,6,75,3,1,50101,115,21:35:00
20060605060817,2006,6,15,20,1,50101,60,4:00:00
20060605060817,2006,6,15,20,1,50101,285,5:15:00
20060605060817,2006,6,15,20,1,50101,305,18:25:00
20060605060817,2006,6,15,20,1,50101,165,23:45:00
20060605060817,2006,6,15,20,1,50101,60,3:00:00
20060605060828,2006,6,55,25,1,50101,120,7:02:00
20060605060828,2006,6,55,25,1,50101,120,9:17:00
20060605060828,2006,6,55,25,1,50101,118,11:47:00
20060605060828,2006,6,55,25,1,50101,90,14:00:00
20060605060831,2006,8,30,0,2,50101,305,7:15:00
20060605060831,2006,8,30,0,2,50101,180,13:20:00
20060605060833,2006,8,60,45,1,50101,150,20:30:00
20060605060840,2006,8,40,15,1,50101,250,7:50:00
20060605060840,2006,8,40,15,1,50101,60,13:10:00
20060605060848,2006,8,45,0,2,50102,210,19:30:00
20060605060849,2006,8,90,0,2,50101,300,5:00:00
20060605060849,2006,8,90,0,2,50101,85,11:05:00
20060605060868,2006,10,0,0,2,50101,465,4:00:00
20060605060868,2006,10,0,0,2,50101,165,15:45:00
20060605060870,2006,10,30,30,1,50102,441,16:09:00
20060605060877,2006,12,369,0,2,50102,20,9:45:00
20060605060877,2006,12,369,0,2,50101,15,15:30:00
20060605060880,2006,12,90,45,1,50101,195,7:15:00
20060605060880,2006,12,90,45,1,50101,270,11:30:00
20060605060900,2006,12,55,15,1,50101,175,7:35:00
20060605060900,2006,12,55,15,1,50101,235,10:35:00
20060605060900,2006,12,55,15,1,50101,85,14:35:00
20060605060907,2006,12,85,20,1,50101,165,17:30:00
20060605060909,2006,12,30,0,2,50101,170,7:40:00
20060605060909,2006,12,30,0,2,50101,195,10:45:00
20060605060909,2006,12,30,0,2,50101,120,14:30:00
20060605060909,2006,12,30,0,2,50101,75,17:45:00
20060605060909,2006,12,30,0,2,50101,55,23:05:00
20060605060951,2006,12,60,20,1,50101,270,8:00:00
20060605060951,2006,12,60,20,1,50101,210,13:00:00
20060605060958,2006,12,45,0,2,50101,310,5:50:00
20060605060958,2006,12,45,0,2,50101,120,11:30:00
20060605060958,2006,12,45,0,2,50101,135,13:45:00
20060605060959,2006,12,30,0,2,50101,210,5:50:00
20060605060959,2006,12,30,0,2,50101,135,9:45:00
20060605060959,2006,12,30,0,2,50101,30,12:30:00
20060605060965,2006,12,90,20,1,50101,245,13:25:00
20060605060968,2006,12,40,10,1,50101,75,8:00:00
20060605060968,2006,12,40,10,1,50101,305,10:55:00
20060605060981,2006,12,60,0,2,50101,190,6:50:00
20060605060981,2006,12,60,0,2,50101,105,10:15:00
20060605060986,2006,12,80,2,1,50101,180,9:00:00
20060605060986,2006,12,80,2,1,50101,330,12:30:00
20060605060987,2006,12,20,10,1,50101,87,23:18:00
20060605060991,2006,12,80,0,2,50101,360,6:15:00
20060605060991,2006,12,80,0,2,50101,375,13:15:00
20060605061001,2006,13,0,0,2,50101,30,6:01:00
20060605061001,2006,13,0,0,2,50101,125,10:55:00
20060605061001,2006,13,0,0,2,50101,25,19:50:00
20060605061019,2006,13,30,20,1,50101,30,21:00:00
20060605061033,2006,13,160,15,1,60102,45,9:30:00
20060605061051,2006,13,60,0,2,50101,275,6:55:00
