CASEID,YEAR,STATEFIP,EMPSTAT,PED,SED_EAT,ANYSECDRK,ANYSECEAT,ACTIVITY,DURATION,SED_EAT_LN,START
20060101060014,2006,6,1,40,0,2,2,60101,110,0,7:30:00
20060101060025,2006,12,1,15,10,1,1,50101,45,0,12:20:00
20060101060025,2006,12,1,15,10,1,1,50101,120,10,13:25:00
20060101060092,2006,45,1,60,10,2,1,50101,225,0,6:45:00
20060101060092,2006,45,1,60,10,2,1,50101,120,0,11:00:00
20060101060092,2006,45,1,60,10,2,1,50101,120,0,13:30:00
20060101060533,2006,1,1,30,0,2,2,50101,130,0,14:50:00
20060101060533,2006,1,1,30,0,2,2,50101,135,0,17:15:00
20060101060533,2006,1,1,30,0,2,2,50101,180,0,20:00:00
20060101060536,2006,2,1,37,0,2,2,50101,315,0,7:15:00
20060101060536,2006,2,1,37,0,2,2,50101,280,0,12:50:00
20060101060536,2006,2,1,37,0,2,2,50101,100,0,17:50:00
20060101060589,2006,5,1,60,0,2,2,50101,150,0,7:05:00
20060101060589,2006,5,1,60,0,2,2,50101,165,0,9:45:00
20060101060589,2006,5,1,60,0,2,2,50101,45,0,12:30:00
20060101060612,2006,6,1,60,0,2,2,50101,120,0,4:00:00
20060101060612,2006,6,1,60,0,2,2,50101,354,0,6:06:00
20060101060612,2006,6,1,60,0,2,2,50101,310,0,13:05:00
20060101060612,2006,6,1,60,0,2,2,50101,210,0,18:30:00
20060101060641,2006,6,1,75,5,2,1,50101,30,0,18:42:00
20060101060697,2006,6,1,75,10,2,1,50101,280,0,7:00:00
20060101060697,2006,6,1,75,10,2,1,50101,185,0,12:25:00
20060101060697,2006,6,1,75,10,2,1,50101,45,0,15:30:00
20060101060697,2006,6,1,75,10,2,1,50101,30,0,16:30:00
20060101060710,2006,6,1,80,0,2,2,50101,120,0,7:00:00
20060101060710,2006,6,1,80,0,2,2,50101,135,0,9:15:00
20060101060710,2006,6,1,80,0,2,2,50101,120,0,12:00:00
20060101060710,2006,6,1,80,0,2,2,50101,135,0,14:15:00
20060101060714,2006,6,1,50,0,2,2,50101,120,0,15:00:00
20060101060714,2006,6,1,50,0,2,2,50101,120,0,17:10:00
20060101060714,2006,6,1,50,0,2,2,50101,140,0,19:40:00
20060101060714,2006,6,1,50,0,2,2,50101,80,0,22:10:00
20060101060716,2006,6,1,65,0,2,2,50101,120,0,12:00:00
20060101060716,2006,6,1,65,0,2,2,50101,105,0,14:15:00
20060101060716,2006,6,1,65,0,2,2,50101,105,0,16:15:00
20060101060785,2006,6,1,0,30,1,1,50101,120,0,12:00:00
20060101060809,2006,6,1,50,0,2,2,50101,150,0,6:00:00
20060101060809,2006,6,1,50,0,2,2,50101,220,0,8:50:00
20060101060809,2006,6,1,50,0,2,2,50101,100,0,12:50:00
20060101060825,2006,6,1,29,0,2,2,50101,450,0,4:00:00
20060101060825,2006,6,1,29,0,2,2,50101,255,0,12:15:00
20060101060851,2006,8,1,45,10,1,1,50101,250,10,7:50:00
20060101060851,2006,8,1,45,10,1,1,50101,255,0,12:15:00
20060101060851,2006,8,1,45,10,1,1,50101,65,0,16:40:00
20060101060851,2006,8,1,45,10,1,1,50101,20,0,17:55:00
20060101060875,2006,9,1,30,0,2,2,50101,534,0,7:36:00
20060101060885,2006,12,1,60,60,1,1,50101,180,0,9:00:00
20060101060885,2006,12,1,60,60,1,1,50104,15,0,18:45:00
20060101060885,2006,12,1,60,60,1,1,50101,150,0,19:00:00
20060101060890,2006,12,1,60,0,1,2,50101,120,0,8:20:00
20060101060890,2006,12,1,60,0,1,2,50101,190,0,11:50:00
20060101060897,2006,12,1,50,0,2,2,50101,5,0,14:13:00
20060101060939,2006,12,1,45,0,2,2,50101,305,0,6:55:00
20060101060939,2006,12,1,45,0,2,2,50101,165,0,12:15:00
20060101060982,2006,12,1,60,30,2,1,50101,195,0,5:15:00
20060101060982,2006,12,1,60,30,2,1,50101,165,0,8:45:00
