CASEID,YEAR,FIPS,SED_EAT_TOTAL,SED_WORKING_TOTAL,PRIME_EAT
20060101060014,2006,6,0,0,40
20060101060025,2006,12,20,10,30
20060101060092,2006,45,30,0,180
20060101060533,2006,1,0,0,90
20060101060536,2006,2,0,0,111
20060101060589,2006,5,0,0,180
20060101060612,2006,6,0,0,240
20060101060641,2006,6,5,0,75
20060101060697,2006,6,40,0,300
20060101060710,2006,6,0,0,320
20060101060714,2006,6,0,0,200
20060101060716,2006,6,0,0,195
20060101060785,2006,6,30,0,0
20060101060809,2006,6,0,0,150
20060101060825,2006,6,0,0,58
20060101060851,2006,8,40,10,180
20060101060875,2006,9,0,0,30
20060101060885,2006,12,180,0,180
20060101060890,2006,12,0,0,120
20060101060897,2006,12,0,0,50
20060101060939,2006,12,0,0,90
20060101060982,2006,12,90,0,180
20060101060996,2006,13,0,0,60
20060101061011,2006,13,20,5,380
20060101061026,2006,13,0,0,150
20060101061036,2006,13,0,0,120
20060101061080,2006,17,0,0,460
20060101061082,2006,17,40,10,20
20060101061121,2006,17,48,1,210
20060101061135,2006,17,4,0,90
20060101061164,2006,18,24,0,135
20060101061209,2006,19,0,0,495
20060101061211,2006,19,0,0,225
20060101061226,2006,20,0,0,160
20060101061230,2006,20,30,10,0
20060101061275,2006,22,30,0,150
20060101061287,2006,23,0,0,90
20060101061291,2006,24,0,0,220
20060101061321,2006,25,90,0,165
20060101061352,2006,26,30,0,510
20060101061356,2006,26,0,0,135
20060101061360,2006,26,68,0,360
20060101061361,2006,26,0,0,75
20060101061387,2006,26,4,2,70
20060101061411,2006,26,0,0,120
20060101061423,2006,27,7,0,65
20060101061435,2006,27,0,0,50
20060101061438,2006,27,45,0,270
20060101061472,2006,29,5,0,35
20060101061484,2006,29,140,5,24
20060101061486,2006,29,0,0,60
20060101061497,2006,29,90,0,165
20060101061522,2006,31,15,0,90
20060101061531,2006,32,6,0,225
20060101061552,2006,34,0,0,180
20060101061555,2006,34,0,0,140
20060101061597,2006,34,30,5,60
20060101061614,2006,35,50,5,90
20060101061710,2006,36,0,0,145
20060101061729,2006,36,0,0,100
20060101061781,2006,37,0,0,360
20060101061783,2006,37,144,6,200
20060101061799,2006,37,2,0,55
20060101061805,2006,38,0,0,360
20060101061834,2006,39,1,0,92
20060101061852,2006,39,0,0,140
20060101061854,2006,39,0,0,120
20060101061868,2006,39,0,0,210
20060101061920,2006,41,2,0,30
20060101061931,2006,42,180,60,75
20060101061968,2006,42,0,0,220
20060101061988,2006,42,0,0,150
20060101061999,2006,42,0,0,150
20060101062025,2006,45,75,0,200
20060101062027,2006,45,10,0,120
20060101062036,2006,45,0,0,340
20060101062118,2006,48,10,0,40
20060101062140,2006,48,0,0,105
20060101062165,2006,48,16,8,290
20060101062180,2006,48,60,0,60
20060101062213,2006,48,20,20,20
20060101062222,2006,48,0,0,60
20060101062225,2006,48,35,0,20
20060101062231,2006,49,0,0,270
20060101062239,2006,49,0,0,163
20060101062244,2006,49,3,0,35
20060101062277,2006,51,0,0,180
20060101062285,2006,51,0,0,360
20060101062323,2006,53,0,0,160
20060101062344,2006,54,10,0,40
20060101062356,2006,55,50,15,60
20060101062497,2006,29,20,0,160
20060101062547,2006,51,5,0,60
20060101062552,2006,51,6,0,225
20060101062568,2006,55,15,0,60
20060101062572,2006,55,20,10,180
20060110050655,2006,6,0,0,90
20060110051545,2006,34,80,0,0
20060110051869,2006,40,15,0,120
20060110051916,2006,42,30,0,40
20060110052485,2006,45,0,0,600
20060111050076,2006,32,0,0,345
20060111050088,2006,36,0,0,165
20060111050505,2006,1,10,0,0
20060111050524,2006,1,15,5,120
20060111050532,2006,2,90,0,141
20060111050535,2006,4,0,0,150
20060111050554,2006,4,0,0,120
20060111050556,2006,4,0,0,300
20060111050570,2006,5,20,10,30
20060111050601,2006,6,55,0,20
20060111050621,2006,6,16,0,200
20060111050627,2006,6,10,5,130
20060111050691,2006,6,0,0,150
20060111050696,2006,6,30,0,100
20060111050737,2006,6,0,0,300
20060111050755,2006,6,24,6,600
20060111050757,2006,6,0,0,110
20060111050788,2006,6,0,0,480
20060111050789,2006,6,20,0,340
20060111050798,2006,6,0,0,150
20060111050800,2006,6,0,0,45
20060111050806,2006,6,5,0,20
20060111050869,2006,12,0,0,300
20060111050881,2006,12,0,0,70
20060111050898,2006,12,0,0,180
20060111050906,2006,12,0,0,60
20060111050907,2006,12,0,0,140
20060111050935,2006,12,90,0,720
20060111050968,2006,12,4,2,40
20060111051026,2006,13,0,0,420
20060111051054,2006,17,760,380,120
20060111051071,2006,17,60,60,35
20060111051073,2006,17,0,0,30
20060111051078,2006,17,10,0,120
20060111051124,2006,17,10,0,65
20060111051136,2006,17,90,10,270
20060111051139,2006,17,0,0,303
20060111051142,2006,18,0,0,66
20060111051143,2006,18,0,0,110
20060111051171,2006,18,0,0,30
20060111051215,2006,21,84,0,160
20060111051222,2006,21,0,0,90
20060111051223,2006,21,0,0,45
20060111051236,2006,22,15,0,35
20060111051238,2006,22,30,0,120
20060111051246,2006,22,90,10,210
20060111051264,2006,24,10,5,14
20060111051270,2006,24,0,0,328
20060111051276,2006,24,0,0,60
20060111051281,2006,25,60,30,120
20060111051289,2006,25,15,0,30
20060111051381,2006,26,11,0,30
20060111051386,2006,26,0,0,60
20060111051397,2006,26,765,0,165
20060111051430,2006,28,10,10,150
20060111051445,2006,29,0,0,455
20060111051472,2006,29,40,30,90
20060111051489,2006,30,0,0,130
20060111051505,2006,32,0,0,110
20060111051543,2006,34,0,0,180
20060111051547,2006,34,30,15,20
20060111051568,2006,34,25,5,800
20060111051579,2006,35,180,90,90
20060111051664,2006,36,0,0,90
20060111051690,2006,36,0,0,420
