TUCASEID,t110101
20160101160045,40
20160101160066,30
20160101160069,75
20160101160083,165
20160101160084,30
20160101160094,120
20160101160116,45
20160101160135,40
20160101160139,60
20160101160533,120
20160101160546,120
20160101160550,75
20160101160560,45
20160101160564,75
20160101160569,20
20160101160571,120
20160101160573,40
20160101160574,23
20160101160578,0
20160101160591,45
20160101160602,25
20160101160611,20
20160101160613,35
20160101160631,119
20160101160632,0
20160101160648,495
20160101160658,30
20160101160660,65
20160101160663,180
20160101160674,20
20160101160680,35
20160101160694,35
20160101160734,335
20160101160758,50
20160101160769,90
20160101160813,30
20160101160820,60
20160101160828,98
20160101160829,30
20160101160835,10
20160101160837,180
20160101160846,90
20160101160856,180
20160101160862,75
20160101160869,80
20160101160884,32
20160101160894,45
20160101160914,10
20160101160915,30
20160101160916,0
20160101160917,0
20160101160942,75
20160101160969,60
20160101160974,75
20160101160982,15
20160101160995,60
20160101161013,60
20160101161019,120
20160101161031,30
20160101161056,30
20160101161068,40
20160101161070,30
20160101161076,165
20160101161080,90
20160101161086,180
20160101161107,80
20160101161115,20
20160101161136,15
20160101161141,15
20160101161144,30
20160101161156,90
20160101161157,5
20160101161158,50
20160101161187,90
20160101161189,60
20160101161190,55
20160101161200,60
20160101161215,150
20160101161237,30
20160101161238,110
20160101161245,105
20160101161249,45
20160101161256,20
20160101161276,45
20160101161279,30
20160101161290,90
20160101161311,95
20160101161317,15
20160101161324,71
20160101161332,80
20160101161367,75
20160101161372,30
20160101161373,120
20160101161376,105
20160101161397,65
20160101161412,15
20160101161418,20
20160101161449,105
20160101161451,145
20160101161462,190
20160101161508,105
20160101161511,10
20160101161527,40
20160101161528,135
20160101161546,133
20160101161560,45
20160101161574,45
20160101161577,45
20160101161590,30
20160101161638,35
20160101161656,22
20160101161675,4
20160101161687,51
20160101161700,75
20160101161704,90
20160101161715,70
20160101161747,60
20160101161762,40
20160101161816,30
20160101161832,30
20160101161838,90
20160101161850,15
20160101161856,30
20160101161858,120
20160101161862,80
20160101161870,105
20160101161873,105
20160101161883,60
20160101161891,25
20160101161903,240
20160101161907,30
20160101161943,60
20160101161965,60
20160101161971,70
20160101162013,65
20160101162014,10
20160101162031,20
20160101162041,90
20160101162059,120
20160101162067,50
20160101162086,60
20160101162123,90
20160101162130,15
20160101162133,35
20160101162164,30
20160101162166,90
20160101162200,75
20160101162217,65
20160101162218,30
20160101162235,60
20160101162274,60
20160101162275,60
20160101162278,40
20160101162288,20
20160101162300,65
20160101162303,20
20160101162332,0
20160101162333,70
20160101162343,80
20160101162350,60
20160101162353,60
20160101162355,105
20160101162373,15
20160101162377,55
20160101162422,120
20160101162444,90
20160101162445,90
20160101162449,40
20160101162452,90
20160101162469,30
20160101162477,61
20160101162489,10
20160101162494,60
20160101162514,45
20160101162528,20
20160110150657,30
20160110150757,90
20160110150981,75
20160110151842,20
20160110151953,165
20160110152084,120
20160110152307,80
20160110152390,140
20160110152460,39
20160111150030,60
20160111150034,30
20160111150058,60
20160111150076,45
20160111150119,270
20160111150131,90
20160111150139,90
20160111150145,30
20160111150160,120
20160111150503,70
20160111150511,40
20160111150522,280
20160111150530,35
20160111150575,0
20160111150613,75
20160111150624,35
20160111150625,25
20160111150651,30
20160111150654,41
20160111150662,60
20160111150706,10
20160111150714,145
20160111150736,60
20160111150738,88
20160111150766,60
20160111150769,0
20160111150770,40
20160111150781,50
20160111150783,105
20160111150790,110
20160111150804,45
20160111150822,80
20160111150835,30
20160111150839,63
20160111150844,150
20160111150852,195
20160111150855,10
20160111150887,40
20160111150891,120
20160111150909,38
20160111150930,120
20160111150980,90
20160111150985,15
20160111150987,90
20160111150991,75
20160111151039,110
20160111151072,0
20160111151098,90
20160111151103,75
20160111151107,15
20160111151118,180
20160111151131,110
20160111151135,90
20160111151139,85
20160111151153,0
20160111151158,45
20160111151168,105
20160111151181,65
20160111151183,120
20160111151184,40
20160111151213,45
20160111151215,102
20160111151220,30
20160111151260,10
20160111151280,40
20160111151356,70
20160111151357,45
20160111151369,0
20160111151375,85
20160111151389,90
20160111151400,0
20160111151409,10
20160111151414,30
20160111151431,30
20160111151451,15
20160111151460,110
20160111151469,120
20160111151471,15
20160111151488,90
20160111151490,150
20160111151495,35
20160111151515,75
20160111151520,15
20160111151558,55
20160111151560,75
20160111151567,50
20160111151576,0
20160111151580,105
20160111151601,60
20160111151608,60
20160111151623,45
20160111151632,90
20160111151638,60
20160111151674,15
20160111151676,30
20160111151680,210
20160111151690,15
20160111151739,65
20160111151776,60
20160111151783,125
20160111151790,120
20160111151797,150
20160111151799,220
20160111151813,30
20160111151814,105
20160111151840,145
20160111151852,180
20160111151855,0
20160111151865,30
20160111151887,280
20160111151898,35
20160111151899,10
20160111151902,60
20160111151911,80
20160111151914,60
